# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015805021e-04 7.8875646935e-08
1.5058858964e+00 3.5617068486e-04
3.0123336762e+00 8.6976205523e-04
4.5189389832e+00 9.4615174581e-04
6.0254901951e+00 5.1123940531e-04
7.5318645280e+00 -4.8820970702e-04
9.0379805931e+00 -2.0864633616e-03
1.0543779140e+01 -4.3052734119e-03
1.2049215909e+01 -7.1542926019e-03
1.3554256988e+01 -1.0636439882e-02
1.5058875990e+01 -1.4749636869e-02
1.6563052231e+01 -1.9487914450e-02
1.8066769485e+01 -2.4842160305e-02
1.9570015111e+01 -3.0800642018e-02
2.1072779404e+01 -3.7349383552e-02
2.2575055120e+01 -4.4472442228e-02
2.4076837107e+01 -5.2152115962e-02
2.5578122013e+01 -6.0369100415e-02
2.7078908061e+01 -6.9102609069e-02
2.8579194868e+01 -7.8330465480e-02
3.0078983292e+01 -8.8029174321e-02
3.1578275314e+01 -9.8173975604e-02
3.3077073934e+01 -1.0873888581e-01
3.4575383086e+01 -1.1969672839e-01
3.6073207573e+01 -1.3101915564e-01
3.7570553000e+01 -1.4267666341e-01
3.9067425727e+01 -1.5463859981e-01
4.0563832827e+01 -1.6687316888e-01
4.2059782048e+01 -1.7934742995e-01
4.3555281781e+01 -1.9202729320e-01
4.5050341032e+01 -2.0487751184e-01
4.6544969403e+01 -2.1786167165e-01
4.8039177070e+01 -2.3094217732e-01
4.9532974765e+01 -2.4408023699e-01
5.1026373765e+01 -2.5723584440e-01
5.2519385877e+01 -2.7036775879e-01
5.4012023429e+01 -2.8343348319e-01
5.5504299265e+01 -2.9638924055e-01
5.6996226733e+01 -3.0918994869e-01
5.8487819681e+01 -3.2178919329e-01
5.9979092458e+01 -3.3413919912e-01
6.1470059904e+01 -3.4619079983e-01
6.2960737352e+01 -3.5789340678e-01
6.4451140627e+01 -3.6919497528e-01
6.5941286046e+01 -3.8004197011e-01
6.7431190417e+01 -3.9037932996e-01
6.8920871042e+01 -4.0015042876e-01
7.0410345719e+01 -4.0929703744e-01
7.1899632746e+01 -4.1775928309e-01
7.3388750921e+01 -4.2547560642e-01
7.4877719550e+01 -4.3238271863e-01
7.6366558450e+01 -4.3841555595e-01
7.7855287954e+01 -4.4350723293e-01
7.9343928917e+01 -4.4758899376e-01
8.0832502723e+01 -4.5059016252e-01
