# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015805021e-04 7.8627256964e-08
1.5059551575e+00 4.2793474339e-04
3.0126156984e+00 1.1506327504e-03
4.5195711091e+00 1.5640176073e-03
6.0266055174e+00 1.5856530095e-03
7.5335914945e+00 1.1549976156e-03
9.0404439580e+00 2.3580295233e-04
1.0547101290e+01 -1.1986863155e-03
1.2053516030e+01 -3.1664951145e-03
1.3559651092e+01 -5.6767456138e-03
1.5065476930e+01 -8.7336528559e-03
1.6570969695e+01 -1.2337656886e-02
1.8076109986e+01 -1.6486191073e-02
1.9580881961e+01 -2.1174223009e-02
2.1085272690e+01 -2.6394646586e-02
2.2589271665e+01 -3.2138573088e-02
2.4092870425e+01 -3.8395551479e-02
2.5596062269e+01 -4.5153737763e-02
2.7098842018e+01 -5.2400026884e-02
2.8601205829e+01 -6.0120156293e-02
3.0103151045e+01 -6.8298788056e-02
3.1604676067e+01 -7.6919574139e-02
3.3105780251e+01 -8.5965208372e-02
3.4606463817e+01 -9.5417467812e-02
3.6106727781e+01 -1.0525724561e-01
3.7606573886e+01 -1.1546457671e-01
3.9106004553e+01 -1.2601865764e-01
4.0605022830e+01 -1.3689786165e-01
4.2103632359e+01 -1.4807974950e-01
4.3601837335e+01 -1.5954107652e-01
4.5099642481e+01 -1.7125779701e-01
4.6597053017e+01 -1.8320506587e-01
4.8094074644e+01 -1.9535723747e-01
4.9590713518e+01 -2.0768786288e-01
5.1086976238e+01 -2.2016968499e-01
5.2582869827e+01 -2.3277463195e-01
5.4078401720e+01 -2.4547380937e-01
5.5573579753e+01 -2.5823749040e-01
5.7068412155e+01 -2.7103510496e-01
5.8562907536e+01 -2.8383522789e-01
6.0057074882e+01 -2.9660556541e-01
6.1550923547e+01 -3.0931294068e-01
6.3044463250e+01 -3.2192327840e-01
6.4537704068e+01 -3.3440158832e-01
6.6030656434e+01 -3.4671194744e-01
6.7523331136e+01 -3.5881748132e-01
6.9015739310e+01 -3.7068034507e-01
7.0507892442e+01 -3.8226170228e-01
7.1999802367e+01 -3.9352170360e-01
7.3491481266e+01 -4.0441946454e-01
7.4982941670e+01 -4.1491304166e-01
7.6474196458e+01 -4.2495940826e-01
7.7965258856e+01 -4.3451442940e-01
7.9456142444e+01 -4.4353283467e-01
8.0946861151e+01 -4.5196819154e-01
8.2437429265e+01 -4.5977287690e-01
8.3927861429e+01 -4.6689804633e-01
8.5418172646e+01 -4.7329360564e-01
8.6908378282e+01 -4.7890817756e-01
8.8398494073e+01 -4.8368906978e-01
8.9888536123e+01 -4.8758224059e-01
9.1378520912e+01 -4.9053226421e-01
9.2868465301e+01 -4.9248229450e-01
9.4358386535e+01 -4.9337402650e-01
9.5848302248e+01 -4.9314765946e-01
9.7338230469e+01 -4.9174185479e-01
9.8828189630e+01 -4.8909369578e-01
1.0031819857e+02 -4.8513864423e-01
1.0180827653e+02 -4.7981049616e-01
1.0329844319e+02 -4.7304133620e-01
1.0478871865e+02 -4.6476148986e-01
1.0627912343e+02 -4.5489947449e-01
1.0776967852e+02 -4.4338194922e-01
1.0926040532e+02 -4.3013366228e-01
1.1075132572e+02 -4.1507739637e-01
1.1224246206e+02 -3.9813391376e-01
1.1373383717e+02 -3.7922189708e-01
1.1522547434e+02 -3.5825789061e-01
1.1671739736e+02 -3.3515623836e-01
1.1820963055e+02 -3.0982901946e-01
1.1970219870e+02 -2.8218598191e-01
1.2119512714e+02 -2.5213447435e-01
1.2268844175e+02 -2.1957937618e-01
1.2418216893e+02 -1.8442302276e-01
1.2567633565e+02 -1.4656513019e-01
1.2717096944e+02 -1.0590271702e-01
1.2866609841e+02 -6.2330022431e-02
1.3016175128e+02 -1.5738422746e-02
1.3165795735e+02 3.3983655484e-02
1.3315474654e+02 8.6950826395e-02
1.3465214943e+02 1.4328083799e-01
1.3615019723e+02 2.0309466804e-01
1.3764892179e+02 2.6651662527e-01
1.3914835568e+02 3.3367445277e-01
1.4064853213e+02 4.0469943476e-01
1.4214948508e+02 4.7972650887e-01
1.4365124922e+02 5.5889438202e-01
1.4515385995e+02 6.4234564900e-01
1.4665735345e+02 7.3022691684e-01
1.4816176669e+02 8.2268893404e-01
1.4966713740e+02 9.1988672429e-01
1.5117350417e+02 1.0219797236e+00
1.5268090638e+02 1.1291319252e+00
1.5418938432e+02 1.2415120275e+00
1.5569897912e+02 1.3592935900e+00
1.5720973282e+02 1.4826551937e+00
1.5872168840e+02 1.6117806050e+00
1.6023488976e+02 1.7468589538e+00
1.6174938181e+02 1.8880849081e+00
1.6326521042e+02 2.0356588642e+00
1.6478242251e+02 2.1897871387e+00
1.6630106602e+02 2.3506821693e+00
1.6782119001e+02 2.5185627278e+00
1.6934284461e+02 2.6936541335e+00
1.7086608110e+02 2.8761884805e+00
1.7239095194e+02 3.0664048739e+00
1.7391751075e+02 3.2645496727e+00
1.7544581242e+02 3.4708767468e+00
1.7697591308e+02 3.6856477392e+00
1.7850787018e+02 3.9091323393e+00
1.8004174249e+02 4.1416085741e+00
1.8157759015e+02 4.3833631042e+00
1.8311547472e+02 4.6346915314e+00
1.8465545921e+02 4.8958987242e+00
1.8619760812e+02 5.1672991559e+00
1.8774198748e+02 5.4492172522e+00
1.8928866492e+02 5.7419877549e+00
1.9083770968e+02 6.0459561075e+00
1.9238919266e+02 6.3614788449e+00
1.9394318650e+02 6.6889240088e+00
1.9549976561e+02 7.0286715829e+00
1.9705900622e+02 7.3811139335e+00
1.9862098644e+02 7.7466562829e+00
2.0018578632e+02 8.1257171974e+00
2.0175348790e+02 8.5187290909e+00
2.0332417528e+02 8.9261387652e+00
2.0489793467e+02 9.3474095453e+00
2.0647483979e+02 9.7815221003e+00
2.0805495955e+02 1.0229568270e+01
2.0963838139e+02 1.0693112272e+01
2.1122519460e+02 1.1172587606e+01
2.1281549030e+02 1.1668431525e+01
2.1440936145e+02 1.2181088759e+01
2.1600690285e+02 1.2711011146e+01
2.1760821116e+02 1.3258657180e+01
2.1921338491e+02 1.3824491499e+01
2.2082252448e+02 1.4408984263e+01
2.2243573214e+02 1.5012610444e+01
2.2405311198e+02 1.5635849017e+01
2.2567476997e+02 1.6279182041e+01
2.2730081386e+02 1.6943093595e+01
2.2893135323e+02 1.7628068592e+01
2.3056649941e+02 1.8334591454e+01
2.3220636544e+02 1.9063144623e+01
2.3385106603e+02 1.9814206906e+01
2.3550071750e+02 2.0588251635e+01
