# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015805175e-04 8.7995928020e-08
1.5061818290e+00 5.6075228417e-04
3.0133346047e+00 1.6039807101e-03
4.5209699764e+00 2.4473979037e-03
6.0288458715e+00 3.0064902372e-03
7.5368209118e+00 3.2166966892e-03
9.0448007164e+00 3.0408248914e-03
1.0552717928e+01 2.4623652548e-03
1.2060523519e+01 1.4721932250e-03
1.3568179238e+01 6.3727217178e-05
1.5075655188e+01 -1.7608678279e-03
1.6582928015e+01 -3.9939174360e-03
1.8089979494e+01 -6.6240358005e-03
1.9596795526e+01 -9.6367303715e-03
2.1103365406e+01 -1.3014838858e-02
2.2609681272e+01 -1.6738852437e-02
2.4115737686e+01 -2.0787159175e-02
2.5621531301e+01 -2.5136230095e-02
2.7127060604e+01 -2.9760762942e-02
2.8632325702e+01 -3.4633794099e-02
3.0137328151e+01 -3.9726786248e-02
3.1642070820e+01 -4.5009697055e-02
3.3146557767e+01 -5.0451032657e-02
3.4650794147e+01 -5.6017889394e-02
3.6154786127e+01 -6.1675985826e-02
3.7658540818e+01 -6.7389686490e-02
3.9162066213e+01 -7.3122019230e-02
4.0665371137e+01 -7.8834686957e-02
4.2168465207e+01 -8.4488074503e-02
4.3671358790e+01 -9.0041251855e-02
4.5174062970e+01 -9.5451973391e-02
4.6676589525e+01 -1.0067667429e-01
4.8178950900e+01 -1.0567046446e-01
4.9681160182e+01 -1.1038711981e-01
5.1183231090e+01 -1.1477907164e-01
5.2685177954e+01 -1.1879739376e-01
5.4187015700e+01 -1.2239178822e-01
5.5688759845e+01 -1.2551056941e-01
5.7190426479e+01 -1.2810064653e-01
5.8692032264e+01 -1.3010750472e-01
6.0193594422e+01 -1.3147518475e-01
6.1695130733e+01 -1.3214626198e-01
6.3196659526e+01 -1.3206182387e-01
6.4698199678e+01 -1.3116144613e-01
6.6199770613e+01 -1.2938316846e-01
6.7701392296e+01 -1.2666346851e-01
6.9203085234e+01 -1.2293723510e-01
7.0704870475e+01 -1.1813774161e-01
7.2206769610e+01 -1.1219661648e-01
7.3708804771e+01 -1.0504381380e-01
7.5210998632e+01 -9.6607583504e-02
7.6713374416e+01 -8.6814439569e-02
7.8215955888e+01 -7.5589128676e-02
7.9718767369e+01 -6.2854596391e-02
8.1221833729e+01 -4.8531953402e-02
8.2725180397e+01 -3.2540441233e-02
8.4228833362e+01 -1.4797396177e-02
8.5732819179e+01 4.7817865970e-03
8.7237164971e+01 2.6283691246e-02
8.8741898438e+01 4.9796918735e-02
9.0247047858e+01 7.5412125911e-02
9.1752642096e+01 1.0322206646e-01
9.3258710608e+01 1.3332163032e-01
9.4765283448e+01 1.6580788637e-01
9.6272391273e+01 2.0078012515e-01
9.7780065353e+01 2.3833990188e-01
9.9288337573e+01 2.7859108104e-01
