# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015804710e-04 6.7934037461e-08
1.5055402517e+00 1.2013456963e-04
3.0111704308e+00 1.3838714978e-05
4.5165742706e+00 -8.1830290213e-04
6.0215742631e+00 -2.4425047579e-03
7.5260650629e+00 -4.9105469388e-03
9.0299760218e+00 -8.2517195600e-03
1.0533256477e+01 -1.2482524682e-02
1.2035868581e+01 -1.7611222366e-02
1.3537783336e+01 -2.3640240216e-02
1.5038978190e+01 -3.0567643448e-02
1.6539435488e+01 -3.8388086135e-02
1.8039141407e+01 -4.7093455642e-02
1.9538085208e+01 -5.6673325210e-02
2.1036258688e+01 -6.7115281120e-02
2.2533655770e+01 -7.8405164648e-02
2.4030272182e+01 -9.0527254364e-02
2.5526105220e+01 -1.0346440547e-01
2.7021153543e+01 -1.1719815741e-01
2.8515417022e+01 -1.3170881778e-01
3.0008896608e+01 -1.4697552787e-01
3.1501594229e+01 -1.6297631418e-01
3.2993512702e+01 -1.7968812845e-01
3.4484655658e+01 -1.9708687891e-01
3.5975027485e+01 -2.1514745422e-01
3.7464633269e+01 -2.3384374120e-01
3.8953478757e+01 -2.5314863792e-01
4.0441570313e+01 -2.7303406228e-01
4.1928914888e+01 -2.9347095719e-01
4.3415519994e+01 -3.1442929276e-01
4.4901393673e+01 -3.3587806582e-01
4.6386544484e+01 -3.5778529719e-01
4.7870981480e+01 -3.8011802666e-01
4.9354714193e+01 -4.0284230671e-01
5.0837752622e+01 -4.2592319401e-01
5.2320107219e+01 -4.4932473996e-01
5.3801788883e+01 -4.7300997979e-01
5.5282808945e+01 -4.9694091995e-01
5.6763179167e+01 -5.2107852524e-01
5.8242911731e+01 -5.4538270421e-01
5.9722019238e+01 -5.6981229386e-01
6.1200514699e+01 -5.9432504321e-01
6.2678411537e+01 -6.1887759624e-01
6.4155723579e+01 -6.4342547389e-01
6.5632465058e+01 -6.6792305515e-01
6.7108650609e+01 -6.9232355725e-01
6.8584295269e+01 -7.1657901532e-01
7.0059414479e+01 -7.4064026158e-01
7.1534024079e+01 -7.6445690280e-01
7.3008140313e+01 -7.8797729800e-01
7.4481779831e+01 -8.1114853525e-01
7.5954959683e+01 -8.3391640724e-01
7.7427697331e+01 -8.5622538685e-01
7.8900010644e+01 -8.7801860143e-01
8.0371917902e+01 -8.9923780667e-01
8.1843437801e+01 -9.1982335980e-01
8.3314589451e+01 -9.3971419189e-01
8.4785392388e+01 -9.5884778014e-01
8.6255866569e+01 -9.7716011796e-01
8.7726032378e+01 -9.9458568578e-01
8.9195910636e+01 -1.0110574210e+00
9.0665522596e+01 -1.0265066862e+00
9.2134889956e+01 -1.0408632373e+00
9.3604034857e+01 -1.0540551918e+00
9.5072979894e+01 -1.0660089946e+00
9.6541748117e+01 -1.0766493842e+00
9.8010363037e+01 -1.0858993578e+00
9.9478848635e+01 -1.0936801358e+00
1.0094722936e+02 -1.0999111255e+00
1.0241553016e+02 -1.1045098833e+00
1.0388377643e+02 -1.1073920777e+00
1.0535199409e+02 -1.1084714495e+00
1.0682020956e+02 -1.1076597729e+00
1.0828844974e+02 -1.1048668151e+00
1.0975674206e+02 -1.1000002939e+00
1.1122511448e+02 -1.0929658367e+00
1.1269359545e+02 -1.0836669377e+00
1.1416221400e+02 -1.0720049121e+00
1.1563099967e+02 -1.0578788536e+00
1.1709998257e+02 -1.0411855873e+00
1.1856919335e+02 -1.0218196224e+00
1.2003866325e+02 -9.9967310726e-01
1.2150842406e+02 -9.7463577805e-01
1.2297850816e+02 -9.4659490990e-01
1.2444894855e+02 -9.1543526719e-01
1.2591977880e+02 -8.8103905167e-01
1.2739103309e+02 -8.4328584954e-01
1.2886274625e+02 -8.0205257850e-01
1.3033495371e+02 -7.5721343193e-01
1.3180769155e+02 -7.0863982442e-01
1.3328099651e+02 -6.5620033523e-01
1.3475490597e+02 -5.9976064862e-01
1.3622945801e+02 -5.3918349641e-01
1.3770469135e+02 -4.7432859744e-01
1.3918064544e+02 -4.0505259607e-01
1.4065736040e+02 -3.3120899969e-01
1.4213487710e+02 -2.5264811598e-01
1.4361323710e+02 -1.6921698688e-01
1.4509248272e+02 -8.0759322040e-02
1.4657265701e+02 1.2884565955e-02
1.4805380381e+02 1.1187783325e-01
1.4953596769e+02 2.1638717265e-01
1.5101919404e+02 3.2658288471e-01
1.5250352904e+02 4.4263895150e-01
1.5398901967e+02 5.6473311039e-01
1.5547571374e+02 6.9304692744e-01
1.5696365990e+02 8.2776587527e-01
1.5845290765e+02 9.6907941214e-01
1.5994350735e+02 1.1171810583e+00
1.6143551023e+02 1.2722684795e+00
1.6292896844e+02 1.4345435691e+00
1.6442393501e+02 1.6042125304e+00
1.6592046391e+02 1.7814859616e+00
1.6741861002e+02 1.9665789448e+00
1.6891842921e+02 2.1597111334e+00
1.7041997828e+02 2.3611068406e+00
1.7192331504e+02 2.5709951320e+00
1.7342849828e+02 2.7896099199e+00
1.7493558782e+02 3.0171900556e+00
1.7644464451e+02 3.2539794257e+00
1.7795573023e+02 3.5002270538e+00
1.7946890794e+02 3.7561871968e+00
1.8098424170e+02 4.0221194451e+00
1.8250179663e+02 4.2982888293e+00
1.8402163900e+02 4.5849659240e+00
1.8554383620e+02 4.8824269533e+00
1.8706845678e+02 5.1909539002e+00
1.8859557046e+02 5.5108346162e+00
1.9012524815e+02 5.8423629339e+00
1.9165756199e+02 6.1858387809e+00
1.9319258533e+02 6.5415682953e+00
1.9473039277e+02 6.9098639449e+00
1.9627106018e+02 7.2910446448e+00
1.9781466475e+02 7.6854358791e+00
1.9936128494e+02 8.0933698268e+00
2.0091100058e+02 8.5151854852e+00
2.0246389281e+02 8.9512287984e+00
2.0402004420e+02 9.4018527867e+00
2.0557953867e+02 9.8674081804e+00
2.0714246146e+02 1.0346173531e+01
2.0870886931e+02 1.0836535190e+01
2.1027882215e+02 1.1340332249e+01
2.1185240119e+02 1.1859253492e+01
2.1342968831e+02 1.2393556939e+01
2.1501076605e+02 1.2943496584e+01
2.1659571754e+02 1.3509321676e+01
2.1818462647e+02 1.4091275963e+01
2.1977757704e+02 1.4689596873e+01
2.2137465388e+02 1.5304514656e+01
2.2297594203e+02 1.5936251476e+01
2.2458152682e+02 1.6585020471e+01
2.2619149385e+02 1.7251024742e+01
