# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015805021e-04 2.5360729677e-07
9.5144847485e+00 -5.3885806605e-03
1.9018042011e+01 -2.9593241977e-02
2.8502783510e+01 -7.8169430847e-02
3.7967684929e+01 -1.4552527827e-01
4.7413788637e+01 -2.2454390582e-01
5.6843323174e+01 -3.0628992202e-01
6.6259416761e+01 -3.7989255628e-01
7.5666001890e+01 -4.3230050744e-01
8.5067804960e+01 -4.4793603190e-01
9.4470384195e+01 -4.0825239380e-01
1.0388020160e+02 -2.9118580743e-01
1.1330472365e+02 -7.0484859168e-02
1.2275254988e+02 2.8510645328e-01
1.3223357085e+02 8.1284303489e-01
1.4175915898e+02 1.5571895430e+00
1.5134239719e+02 2.5712969050e+00
1.6099835175e+02 3.9188059545e+00
1.7074439771e+02 5.6759109966e+00
1.8060059106e+02 7.9226597394e+00
1.9058893393e+02 1.0744096027e+01
2.0073387815e+02 1.4241104382e+01
2.1106272638e+02 1.8516510218e+01
2.2160470286e+02 2.3655748817e+01
2.3238970753e+02 2.9707817092e+01
2.4344614886e+02 3.6654873644e+01
2.5479777517e+02 4.4381296480e+01
2.6645990962e+02 5.2659274346e+01
2.7843621941e+02 6.1171116688e+01
2.9071756279e+02 6.9572702705e+01
3.0328381039e+02 7.7572523230e+01
3.1610797166e+02 8.4985874413e+01
3.2916081952e+02 9.1742918809e+01
3.4241444232e+02 9.7861475288e+01
3.5584419569e+02 1.0340929417e+02
3.6942934093e+02 1.0847324652e+02
3.8315290265e+02 1.1314043346e+02
3.9700118084e+02 1.1748910523e+02
4.1096317651e+02 1.2158563790e+02
4.2503005415e+02 1.2548459693e+02
4.3919468564e+02 1.2923008817e+02
4.5345128162e+02 1.3285746493e+02
4.6779510128e+02 1.3639497133e+02
4.8222222663e+02 1.3986516613e+02
4.9672938798e+02 1.4328609503e+02
5.1131382905e+02 1.4667223036e+02
5.2597320258e+02 1.5003521393e+02
5.4070548924e+02 1.5338444050e+02
5.5550893434e+02 1.5672751497e+02
5.7038199819e+02 1.6007061094e+02
5.8532331694e+02 1.6341875253e+02
6.0033167151e+02 1.6677603659e+02
6.1540596284e+02 1.7014580866e+02
6.3054519200e+02 1.7353080299e+02
6.4574844417e+02 1.7693325428e+02
6.6101487562e+02 1.8035498746e+02
6.7634370313e+02 1.8379749006e+02
6.9173419528e+02 1.8726197085e+02
7.0718566532e+02 1.9074940750e+02
7.2269746522e+02 1.9426058557e+02
7.3826898075e+02 1.9779613050e+02
7.5389962738e+02 2.0135653391e+02
7.6958884678e+02 2.0494217539e+02
7.8533610395e+02 2.0855334054e+02
8.0114088472e+02 2.1219023603e+02
8.1700269366e+02 2.1585300214e+02
8.3292105225e+02 2.1954172325e+02
8.4889549740e+02 2.2325643673e+02
8.6492558005e+02 2.2699714030e+02
8.8101086407e+02 2.3076379838e+02
8.9715092521e+02 2.3455634735e+02
9.1334535027e+02 2.3837470008e+02
9.2959373631e+02 2.4221874974e+02
9.4589568996e+02 2.4608837305e+02
9.6225082686e+02 2.4998343310e+02
9.7865877107e+02 2.5390378167e+02
9.9511915467e+02 2.5784926124e+02
1.0116316173e+03 2.6181970679e+02
1.0281958057e+03 2.6581494723e+02
1.0448113734e+03 2.6984823135e+02
