# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015804710e-04 2.1580169955e-07
9.5061467957e+00 -1.1333803679e-02
1.8989476111e+01 -5.2223654787e-02
2.8443249649e+01 -1.2751249123e-01
3.7866534796e+01 -2.3258956366e-01
4.7260147938e+01 -3.6157593286e-01
5.6625904319e+01 -5.0708175621e-01
6.5966372866e+01 -6.6011369960e-01
7.5284793394e+01 -8.0987375176e-01
8.4585066005e+01 -9.4347289342e-01
9.3871781454e+01 -1.0455630183e+00
1.0315028036e+02 -1.0978792949e+00
1.1242673681e+02 -1.0786780183e+00
1.2170826572e+02 -9.6204887275e-01
1.3100305529e+02 -7.1707404165e-01
1.4032052775e+02 -3.0679899218e-01
1.4967153280e+02 3.1302959596e-01
1.5906857954e+02 1.1955150309e+00
1.6852611463e+02 2.4045221039e+00
1.7806085584e+02 4.0170390398e+00
1.8769219289e+02 6.1261043953e+00
1.9744267026e+02 8.8381784513e+00
2.0733797323e+02 1.2244895446e+01
2.1740473489e+02 1.6444045914e+01
2.2767263585e+02 2.1540464521e+01
2.3817247958e+02 2.7591736333e+01
2.4893375968e+02 3.4581336897e+01
2.5998131991e+02 4.2387825486e+01
2.7133146105e+02 5.0772936516e+01
2.8298876390e+02 5.9410174785e+01
2.9494516810e+02 6.7953187771e+01
3.0718197488e+02 7.6113338507e+01
3.1967388539e+02 8.3707837508e+01
3.3239332011e+02 9.0663463174e+01
3.4531367816e+02 9.6989738469e+01
3.5841115606e+02 1.0274430100e+02
3.7166540667e+02 1.0800493340e+02
3.8505949659e+02 1.1285205585e+02
3.9857953314e+02 1.1735980926e+02
4.1221418753e+02 1.2159259003e+02
4.2595422860e+02 1.2560451600e+02
4.3979211387e+02 1.2944024090e+02
4.5372164983e+02 1.3313625259e+02
4.6773771776e+02 1.3672223210e+02
4.8183605578e+02 1.4022229219e+02
4.9601308706e+02 1.4365603526e+02
5.1026578456e+02 1.4703942666e+02
5.2459156468e+02 1.5038550256e+02
5.3898820330e+02 1.5370493781e+02
5.5345376940e+02 1.5700649962e+02
5.6798657228e+02 1.6029740939e+02
5.8258511946e+02 1.6358363151e+02
5.9724808286e+02 1.6687010435e+02
6.1197427157e+02 1.7016092558e+02
6.2676260980e+02 1.7345950132e+02
6.4161211887e+02 1.7676866664e+02
6.5652190254e+02 1.8009078335e+02
6.7149113494e+02 1.8342781960e+02
6.8651905053e+02 1.8678141498e+02
7.0160493589e+02 1.9015293403e+02
7.1674812277e+02 1.9354351025e+02
7.3194798233e+02 1.9695408255e+02
7.4720392029e+02 2.0038542555e+02
7.6251537280e+02 2.0383817480e+02
7.7788180299e+02 2.0731284785e+02
7.9330269803e+02 2.1080986195e+02
8.0877756656e+02 2.1432954896e+02
8.2430593654e+02 2.1787216788e+02
8.3988735338e+02 2.2143791550e+02
8.5552137837e+02 2.2502693545e+02
8.7120758719e+02 2.2863932582e+02
8.8694556879e+02 2.3227514577e+02
9.0273492425e+02 2.3593442111e+02
9.1857526589e+02 2.3961714904e+02
9.3446621642e+02 2.4332330236e+02
9.5040740825e+02 2.4705283295e+02
9.6639848279e+02 2.5080567480e+02
9.8243908994e+02 2.5458174672e+02
9.9852888754e+02 2.5838095450e+02
1.0146675409e+03 2.6221613305e+02
