# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015804710e-04 2.1549495962e-07
9.5056066222e+00 -1.1854580026e-02
1.8987354245e+01 -5.4175840421e-02
2.8438635455e+01 -1.3143507441e-01
3.7858721776e+01 -2.3845889834e-01
4.7248692595e+01 -3.6866241906e-01
5.6610674590e+01 -5.1384635601e-01
6.5947586099e+01 -6.6415227734e-01
7.5263042152e+01 -8.0792471899e-01
8.4561328695e+01 -9.3151113105e-01
9.3847413429e+01 -1.0190118905e+00
1.0312697967e+02 -1.0519836086e+00
1.1240647696e+02 -1.0090948454e+00
1.2169318558e+02 -8.6573120071e-01
1.3099529351e+02 -5.9354544811e-01
1.4032198570e+02 -1.5994746958e-01
1.4968354559e+02 4.7247196159e-01
1.5909146936e+02 1.3465900918e+00
1.6855859386e+02 2.5114808381e+00
1.7809923876e+02 4.0232306536e+00
1.8772936417e+02 5.9458494291e+00
1.9746674482e+02 8.3502943309e+00
2.0733097220e+02 1.1292208346e+01
2.1734156514e+02 1.4825995414e+01
2.2751944186e+02 1.9017262045e+01
2.3788627694e+02 2.3912846797e+01
2.4846335852e+02 2.9530327386e+01
2.5927039363e+02 3.5848711256e+01
2.7032402016e+02 4.2797445008e+01
2.8163619995e+02 5.0251559436e+01
2.9321281869e+02 5.8037924088e+01
3.0505290380e+02 6.5954714751e+01
3.1714878188e+02 7.3800342651e+01
3.2948721202e+02 8.1402660589e+01
3.4205118648e+02 8.8638670934e+01
3.5482189774e+02 9.5440029525e+01
3.6778042785e+02 1.0178638038e+02
3.8090893119e+02 1.0769237218e+02
3.9419129783e+02 1.1319397509e+02
4.0761340814e+02 1.1833735316e+02
4.2116312082e+02 1.2317123136e+02
4.3483011500e+02 1.2774235770e+02
4.4860566989e+02 1.3209320913e+02
4.6248243217e+02 1.3626112650e+02
4.7645419727e+02 1.4027826724e+02
4.9051571594e+02 1.4417197384e+02
5.0466252913e+02 1.4796531698e+02
5.1889082994e+02 1.5167767923e+02
5.3319734971e+02 1.5532531124e+02
5.4757926470e+02 1.5892183049e+02
5.6203411981e+02 1.6247865324e+02
5.7655976647e+02 1.6600536095e+02
5.9115431187e+02 1.6951000734e+02
6.0581607755e+02 1.7299937353e+02
6.2054356541e+02 1.7647917950e+02
6.3533542983e+02 1.7995425864e+02
6.5019045465e+02 1.8342870216e+02
6.6510753417e+02 1.8690597832e+02
6.8008565733e+02 1.9038903122e+02
6.9512389457e+02 1.9388036274e+02
7.1022138680e+02 1.9738210067e+02
7.2537733618e+02 2.0089605550e+02
7.4059099833e+02 2.0442376792e+02
7.5586167571e+02 2.0796654858e+02
7.7118871206e+02 2.1152551156e+02
7.8657148762e+02 2.1510160259e+02
8.0200941504e+02 2.1869562283e+02
8.1750193591e+02 2.2230824912e+02
8.3304851772e+02 2.2594005116e+02
8.4864865129e+02 2.2959150610e+02
8.6430184846e+02 2.3326301107e+02
8.8000764019e+02 2.3695489390e+02
8.9576557481e+02 2.4066742227e+02
9.1157521652e+02 2.4440081166e+02
9.2743614407e+02 2.4815523215e+02
9.4334794963e+02 2.5193081431e+02
9.5931023773e+02 2.5572765433e+02
9.7532262436e+02 2.5954581841e+02
9.9138473616e+02 2.6338534661e+02
1.0074962097e+03 2.6726024474e+02
