# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015805021e-04 2.5868984712e-07
9.5170776075e+00 -3.1173251764e-03
1.9027770086e+01 -2.1323371550e-02
2.8523374172e+01 -6.1773812478e-02
3.8002070395e+01 -1.2057008933e-01
4.7464049509e+01 -1.9261058359e-01
5.6910586214e+01 -2.7145166000e-01
6.6343711311e+01 -3.4935911563e-01
7.5766072853e+01 -4.1726135732e-01
8.5180876982e+01 -4.6464434304e-01
9.4591869279e+01 -4.7940531627e-01
1.0400334003e+02 -4.4767148538e-01
1.1342014561e+02 -3.5358490982e-01
1.2284774201e+02 -1.7905235710e-01
1.3229222877e+02 9.6542597991e-02
1.4176040229e+02 4.9666900631e-01
1.5125981830e+02 1.0480241241e+00
1.6079886379e+02 1.7809604949e+00
1.7038683867e+02 2.7299705776e+00
1.8003404793e+02 3.9342356151e+00
1.8975190505e+02 5.4382460457e+00
1.9955304762e+02 7.2925013068e+00
2.0945146631e+02 9.5480360283e+00
2.1946207899e+02 1.2252828425e+01
2.2960057485e+02 1.5465565269e+01
2.3988424389e+02 1.9251414259e+01
2.5033141440e+02 2.3668940319e+01
2.6096118144e+02 2.8769919837e+01
2.7179296490e+02 3.4592573321e+01
2.8284585040e+02 4.1152728428e+01
2.9413768230e+02 4.8433523166e+01
3.0568391873e+02 5.6375340566e+01
3.1749633229e+02 6.4869048467e+01
3.2958174323e+02 7.3756576558e+01
3.4194106724e+02 8.2842183400e+01
3.5456898166e+02 9.1914532683e+01
3.6745439940e+02 1.0077474239e+02
3.8058170034e+02 1.0926192329e+02
3.9393242180e+02 1.1726841978e+02
4.0748699660e+02 1.2474184863e+02
4.2122619768e+02 1.3167659675e+02
4.3513212540e+02 1.3810025980e+02
4.4918874228e+02 1.4405999713e+02
4.6338205475e+02 1.4961161383e+02
4.7770006522e+02 1.5481212827e+02
4.9213259867e+02 1.5971539340e+02
5.0667107692e+02 1.6436993557e+02
5.2130828485e+02 1.6881821116e+02
5.3603815199e+02 1.7309667588e+02
5.5085555962e+02 1.7723626444e+02
5.6575617604e+02 1.8126303706e+02
5.8073631870e+02 1.8519885663e+02
5.9579284028e+02 1.8906202716e+02
6.1092303520e+02 1.9286786357e+02
6.2612456326e+02 1.9662918402e+02
6.4139538729e+02 2.0035672713e+02
6.5673372227e+02 2.0405950129e+02
6.7213799374e+02 2.0774507500e+02
6.8760680384e+02 2.1141981722e+02
7.0313890327e+02 2.1508909598e+02
7.1873316836e+02 2.1875744238e+02
7.3438858206e+02 2.2242868609e+02
7.5010421821e+02 2.2610606757e+02
7.6587922842e+02 2.2979233098e+02
7.8171283121e+02 2.3348980147e+02
7.9760430286e+02 2.3720044948e+02
8.1355296970e+02 2.4092594450e+02
8.2955820170e+02 2.4466769999e+02
8.4561940696e+02 2.4842691122e+02
8.6173602711e+02 2.5220458698e+02
8.7790753331e+02 2.5600157646e+02
8.9413342293e+02 2.5981859192e+02
9.1041321664e+02 2.6365622798e+02
9.2674645590e+02 2.6751497799e+02
9.4313270090e+02 2.7139524801e+02
9.5957152860e+02 2.7529736875e+02
9.7606253122e+02 2.7922160582e+02
9.9260531481e+02 2.8316816846e+02
1.0091994980e+03 2.8713721718e+02
1.0258447110e+03 2.9114305830e+02
