model,parameter_name,parameter_value,a,b,K0,n_id,kf,p_id,eps_id,binding,n_sat,e_per_particle_minus_m_at_sat,p_sat
vdw,,,328.92332141994257,3.4140201144371347,762.5389523893134,0.3526118097983361,1.73471960241986,8.42043702835053,343.66524825802156,-16.00000000047328,0.16000000819346138,-16.000000000472824,6.942038517365745e-07
rks,,,374.1246008659823,2.9343794358079145,517.6872568264379,0.30160266551600096,1.646678164415296,6.517580916264869,292.87925828357345,-16.000000000034447,0.15999998396071732,-16.00000000003422,-9.225922061872893e-07
pr,,,408.4315293063252,2.817208542931072,443.12146447778036,0.2913081125102325,1.6277256025593547,6.156552982101365,282.6662516639923,-15.999999999750116,0.16000000819346138,-15.999999999749662,4.0341101570362525e-07
clausius,c,0.0,328.92332141994257,3.4140201144371347,762.5389523893134,0.3526118097983361,1.73471960241986,8.42043702835053,343.66524825802156,-16.00000000047328,0.16000000819346138,-16.000000000472824,6.942038517365745e-07
clausius,c,1.185,366.5873572069253,2.969233029742481,538.6026344162964,0.3048067750820798,1.6524888589479665,6.631557464977581,296.06053662371426,-16.000000000310024,0.15999999607708937,-16.00000000030991,-2.3476553678847267e-07
clausius,c,2.37,402.89076658138913,2.5410697707545857,401.80827506031136,0.26961952320236854,1.5862834028326263,5.422165666924021,261.19096563482736,-16.000000000073783,0.16000000070513165,-16.000000000073555,3.148085703230663e-08
clausius,c,3.555,438.1122473045465,2.127244274281309,312.0142074948262,0.24255620913016307,1.5313265075702005,4.557117200031377,234.47485091490148,-15.999999999861075,0.15999999607708934,-15.999999999861302,-1.360004189265851e-07
clausius,c,4.74,472.4462966410264,1.7259869725268282,249.81685380942588,0.22104268796912308,1.4846441995838784,3.911623658541651,213.30370583539414,-15.999999999744546,0.16000001568179112,-15.999999999744432,4.3528627013955656e-07
dieterici,alpha,1.6666666666666667,102.65152674567649,2.2758720402060133,249.89454341417527,0.2516275293893251,1.5501832953189274,4.840594661306858,243.4195840539264,-15.9999999996204,0.15999998396071732,-15.999999999619831,-4.453475792587369e-07
dieterici,alpha,1.75,140.24500285917318,2.6432565488739073,349.71981619813516,0.2772584226049627,1.6011250449299865,5.676718585495219,268.74824931335274,-15.999999999922466,0.16000000819346138,-15.999999999922125,3.1837958491820473e-07
dieterici,alpha,1.8333333333333335,188.60753255455202,2.945340035148509,467.91662163725437,0.3026029941464611,1.648496673481484,6.553082995053738,293.87232961701045,-15.999999999927581,0.16000001568179112,-15.999999999927013,8.153081036965659e-07
dieterici,alpha,1.9166666666666667,250.40757970979024,3.1985084884005888,605.2710317430154,0.32770859633683175,1.6928804101788857,7.468111109560598,318.8338999747196,-16.000000000375167,0.15999998858875963,-16.000000000375394,-7.674324029594004e-07
dieterici,alpha,2.0,328.92332141994257,3.4140201144371347,762.5389523893134,0.3526118097983361,1.73471960241986,8.42043702835053,343.66524825802156,-16.00000000047328,0.16000000819346138,-16.000000000472824,6.942038517365745e-07
