model,parameter_name,parameter_value,a,b,K0,Tc,nc,Pc,dPdn,d2Pdn2,score,iterations,mu_star
vdw,,,328.92332141994257,3.4140201144371347,762.5389523893134,19.714051699516656,0.07241684495467503,0.5268892365693063,-9.79237801956856e-07,9.033884751374899e-05,1.2535404710530294e-13,11,947.5545508610963
rks,,,374.1246008659823,2.9343794358079145,517.6872568264379,18.240017892092034,0.06429154365845052,0.39677673849305584,-5.322875473723343e-07,4.3587355946783646e-05,6.948461941343315e-14,12,945.0093616916525
pr,,,408.4315293063252,2.817208542931072,443.12146447778036,17.14148343849026,0.060723812617548396,0.33182219037783733,-3.0066005241025096e-07,3.4333647036532966e-05,8.131121729166616e-14,11,944.9839243542069
clausius,c,0.0,328.92332141994257,3.4140201144371347,762.5389523893134,19.714051699516656,0.07241684495467503,0.5268892365693063,-9.79237801956856e-07,9.033884751374899e-05,1.2535404710530294e-13,11,947.5545508610963
clausius,c,1.185,366.5873572069253,2.969233029742481,538.6026344162964,18.50168194032546,0.06517786509133604,0.4137362604429664,-2.5126289937560387e-07,3.863021014183232e-05,4.571396488177694e-14,12,945.0539197854134
clausius,c,2.37,402.89076658138913,2.5410697707545857,401.80827506031136,17.557034705995026,0.05919636158109424,0.33726261599978,-7.506462118556101e-07,5.9974247790250956e-05,2.0086622171538188e-13,12,943.1125456530942
clausius,c,3.555,438.1122473045465,2.127244274281309,312.0142074948262,16.79416372328766,0.054177689728988794,0.28259316192883865,2.6054983170986645e-06,-9.19458953418939e-05,4.552504130187056e-13,11,941.549492624157
clausius,c,4.74,472.4462966410264,1.7259869725268282,249.81685380942588,16.161290058337016,0.04991116553296645,0.24182851172252506,-1.0713055442757025e-06,6.418476861114186e-05,1.609982613941059e-13,11,940.2560596751389
dieterici,alpha,1.6666666666666667,102.65152674567649,2.2758720402060133,249.89454341417527,13.01013050858363,0.05842910014678292,0.19141981337362035,-2.3333418530668837e-07,-4.074240944618168e-05,2.182728258814405e-13,10,949.5649720553587
dieterici,alpha,1.75,140.24500285917318,2.6432565488739073,349.71981619813516,14.769044219744226,0.06258684201253052,0.2615190273986172,2.1732093902215865e-06,9.974243653232406e-05,1.2234727037302053e-12,9,949.2292274274746
dieterici,alpha,1.8333333333333335,188.60753255455202,2.945340035148509,467.91662163725437,16.46822994447412,0.06621420557380116,0.34091621578040576,-1.0057638055727125e-06,7.634448628834889e-05,3.0540153890732177e-13,12,948.7528649042096
dieterici,alpha,2.0,328.92332141994257,3.4140201144371347,762.5389523893134,19.714051699516656,0.07241684495467503,0.5268892365693063,-9.79237801956856e-07,9.033884751374899e-05,1.2535404710530294e-13,11,947.5545508610963
