target_k0,y,status
250.0,0.5,converged
250.0,0.4,converged
250.0,0.3,converged
250.0,0.2,converged
250.0,0.1,converged
250.0,1e-09,no_solution_in_window
250.0,0.0,no_solution_in_window
260.0,0.5,converged
260.0,0.4,converged
260.0,0.3,converged
260.0,0.2,converged
260.0,0.1,converged
260.0,1e-09,no_solution_in_window
260.0,0.0,no_solution_in_window
270.0,0.5,converged
270.0,0.4,converged
270.0,0.3,converged
270.0,0.2,converged
270.0,0.1,converged
270.0,1e-09,no_solution_in_window
270.0,0.0,no_solution_in_window
280.0,0.5,converged
280.0,0.4,converged
280.0,0.3,converged
280.0,0.2,converged
280.0,0.1,converged
280.0,1e-09,no_solution_in_window
280.0,0.0,no_solution_in_window
290.0,0.5,converged
290.0,0.4,converged
290.0,0.3,converged
290.0,0.2,converged
290.0,0.1,converged
290.0,1e-09,no_solution_in_window
290.0,0.0,no_solution_in_window
300.0,0.5,converged
300.0,0.4,converged
300.0,0.3,converged
300.0,0.2,converged
300.0,0.1,converged
300.0,1e-09,no_solution_in_window
300.0,0.0,no_solution_in_window
310.0,0.5,converged
310.0,0.4,converged
310.0,0.3,converged
310.0,0.2,converged
310.0,0.1,converged
310.0,1e-09,no_solution_in_window
310.0,0.0,no_solution_in_window
315.0,0.5,converged
315.0,0.4,converged
315.0,0.3,converged
315.0,0.2,converged
315.0,0.1,converged
315.0,1e-09,no_solution_in_window
315.0,0.0,no_solution_in_window
