label,target_k0,y,onset_rho_fq_0p01,rho_vs2_max,vs2_max,fq_at_vs2_max,crossing_with_y0p5
k0_250,250.0,0.0,3.1359832635983262,3.5916317991631797,1.1464299821994868,0.02855431876508641,
k0_250,250.0,0.1,2.86673640167364,2.9702928870292884,2.534808938839534,0.021485672775849837,
k0_250,250.0,0.2,2.8046025104602506,2.9702928870292884,1.7899105689505819,0.024471363737913657,
k0_250,250.0,0.3,2.7424686192468615,2.9495815899581586,1.4570231153777002,0.025197276183200282,
k0_250,250.0,0.4,2.7010460251046022,2.9081589958158993,1.280265956907282,0.02437186805221809,
k0_250,250.0,0.5,2.659623430962343,2.8874476987447695,1.1693293614353628,0.026085249935695026,
k0_280,280.0,0.0,2.9081589958158993,3.3430962343096233,1.1081952760486187,0.029953086507538956,
k0_280,280.0,0.1,2.5353556485355644,2.597489539748954,2.6295541698176503,0.01983518836909559,
k0_280,280.0,0.2,2.493933054393305,2.6182008368200833,1.8081405452100079,0.023869098434034983,
k0_280,280.0,0.3,2.452510460251046,2.6182008368200833,1.423356217482279,0.025431665100134646,
k0_280,280.0,0.4,2.4110878661087862,2.597489539748954,1.2204493440571216,0.025580205748063568,
k0_280,280.0,0.5,2.369665271966527,2.576778242677824,1.1062037165956735,0.02673234291812049,
k0_315,315.0,0.0,2.6803347280334724,3.0945606694560666,1.0726192830606232,0.029816992612870515,2.8971817525758037
k0_315,315.0,0.1,2.2661087866108782,2.3282426778242673,2.601061816472885,0.021723410168251266,
k0_315,315.0,0.2,2.245397489539749,2.348953974895397,1.785615073669455,0.024145171651848284,
k0_315,315.0,0.3,2.203974895397489,2.348953974895397,1.3851820527069028,0.024401642552845902,
k0_315,315.0,0.4,2.1832635983263597,2.348953974895397,1.1711750130908576,0.02636165500871847,
k0_315,315.0,0.5,2.1418410041841,2.3282426778242673,1.0564612063451448,0.026907846544219512,
