label,target_k0,y,vs2_max,rho_at_vs2_max,fq_at_vs2_max
k0_250,250.0,0.0,1.1430523552805576,3.5714288571428567,0.027157493736872068
k0_250,250.0,0.1,2.4556974626996477,2.983193680672269,0.02359583673867939
k0_250,250.0,0.2,1.7642448327908888,2.983193680672269,0.026200335752318928
k0_250,250.0,0.3,1.4475496891439945,2.9411768823529414,0.02426360594393925
k0_250,250.0,0.4,1.273345190730279,2.8991600840336136,0.02348161973027499
k0_250,250.0,0.5,1.1629162396838197,2.8991600840336136,0.02730549743179163
k0_280,280.0,0.0,1.1048827105673544,3.3193280672268908,0.02812883609112469
k0_280,280.0,0.1,2.520360337274033,2.6050424957983194,0.02125690690383089
k0_280,280.0,0.2,1.7717382161021715,2.6050424957983194,0.021935717101122375
k0_280,280.0,0.3,1.4096288636416006,2.6050424957983194,0.023741770961949817
k0_280,280.0,0.4,1.212174782446289,2.6050424957983194,0.026494273670508918
k0_280,280.0,0.5,1.1002441449936788,2.563025697478992,0.025153649168083134
k0_315,315.0,0.0,1.0693849767071226,3.109244075630252,0.031078592554635916
k0_315,315.0,0.1,2.461100350992819,2.3109249075630256,0.017999360007640332
k0_315,315.0,0.2,1.7450791376528076,2.352941705882353,0.02487075224192477
k0_315,315.0,0.3,1.3705009178345133,2.352941705882353,0.024989518389225876
k0_315,315.0,0.4,1.16199057765054,2.352941705882353,0.026915207205573933
k0_315,315.0,0.5,1.0488807027472018,2.3109249075630256,0.024687887954471334
