# MeV/fm^3               MeV/fm^3
# energy_density         pressure
1.5015804864e-04 2.0582521059e-07
1.2715920156e+01 -2.6929057549e-02
2.5377832898e+01 -1.0368888288e-01
3.7989915054e+01 -2.1189997495e-01
5.0563077222e+01 -3.2602483221e-01
6.3108367149e+01 -4.2558671874e-01
7.5636130221e+01 -4.9329115683e-01
8.8155930910e+01 -5.1392922556e-01
1.0067665992e+02 -4.7347868783e-01
1.1320668927e+02 -3.5835119712e-01
1.2575403550e+02 -1.5473183500e-01
1.3832652036e+02 1.5203904221e-01
1.5093192838e+02 5.7808800719e-01
1.6357816493e+02 1.1416809302e+00
1.7627342013e+02 1.8639961455e+00
1.8902634580e+02 2.7700596305e+00
2.0184625407e+02 3.8899222366e+00
2.1474334888e+02 5.2601899346e+00
2.2772900538e+02 6.9260678898e+00
2.4081611770e+02 8.9441600450e+00
2.5401954460e+02 1.1386399705e+01
2.6735669647e+02 1.4345714372e+01
2.8084833056e+02 1.7942311750e+01
2.9451946757e+02 2.2320710339e+01
3.0839963624e+02 2.7680203743e+01
3.2252610713e+02 3.4305306899e+01
3.3694613589e+02 4.2577235584e+01
3.5172019938e+02 5.3008977983e+01
3.6692606185e+02 6.6258222561e+01
3.8266192094e+02 8.3028364775e+01
3.9904262021e+02 1.0365424584e+02
4.1617503216e+02 1.2727638722e+02
4.3410398876e+02 1.5140237740e+02
4.5276916655e+02 1.7307177109e+02
4.7203372899e+02 1.9066536918e+02
4.9175145292e+02 2.0424644510e+02
5.1180502404e+02 2.1466921607e+02
5.3211111969e+02 2.2284017981e+02
5.5261318938e+02 2.2946847589e+02
5.7327329982e+02 2.3505577319e+02
5.9406594981e+02 2.3994569876e+02
6.1497386995e+02 2.4437233395e+02
6.3598526477e+02 2.4849596168e+02
6.5709201175e+02 2.5242732057e+02
6.7828847792e+02 2.5624366082e+02
6.9957073394e+02 2.5999934888e+02
7.2093602597e+02 2.6373292241e+02
7.4238241637e+02 2.6747183655e+02
7.6390853658e+02 2.7123569785e+02
7.8551341553e+02 2.7503849630e+02
8.0719635930e+02 2.7889016511e+02
8.2895686626e+02 2.8279768380e+02
8.5079456686e+02 2.8676586693e+02
8.7270918070e+02 2.9079793357e+02
8.9470048592e+02 2.9489592243e+02
9.1676829731e+02 2.9906099697e+02
9.3891245077e+02 3.0329367118e+02
9.6113279232e+02 3.0759397795e+02
9.8342917034e+02 3.1196159516e+02
1.0058014303e+03 3.1640069042e+02
