model,parameter_name,parameter_value,a,b,K0,n_id,kf,p_id,eps_id,binding,n_sat,e_per_particle_minus_m_at_sat,p_sat
vdw,,,328.92332141994257,3.4140201144371347,762.5389523893134,0.3526118097983361,1.73471960241986,8.42043702835053,343.66524825802156,-16.00000000047328,0.16000000819346138,-16.000000000472824,6.942038517365745e-07
rks,,,374.1246008659823,2.9343794358079145,517.6872568264379,0.30160266551600096,1.646678164415296,6.517580916264869,292.87925828357345,-16.000000000034447,0.15999998396071732,-16.00000000003422,-9.225922061872893e-07
pr,,,408.4315293063252,2.817208542931072,443.12146447778036,0.2913081125102325,1.6277256025593547,6.156552982101365,282.6662516639923,-15.999999999750116,0.16000000819346138,-15.999999999749662,4.0341101570362525e-07
clausius,c,0.0,328.92332141994257,3.4140201144371347,762.5389523893134,0.3526118097983361,1.73471960241986,8.42043702835053,343.66524825802156,-16.00000000047328,0.16000000819346138,-16.000000000472824,6.942038517365745e-07
clausius,c,0.5266666666666667,345.85361508449813,3.214110722227173,648.1581934649761,0.3293927770427829,1.6957755088946227,7.53112874114369,320.51101343731517,-16.000000000036152,0.16000000533317396,-16.000000000036266,3.840823081802114e-07
clausius,c,1.0533333333333335,362.47585090432614,3.0177848116360275,558.1191378576377,0.30938534154533287,1.660721899305179,6.79574121455524,300.6085630792629,-15.999999999905526,0.16000000533317396,-15.999999999905413,3.307274205610611e-07
clausius,c,1.58,378.8236849667992,2.8247906144030837,485.94539613855403,0.2919529545273999,1.628925766326583,6.178934623958335,283.3056169314401,-15.999999999700208,0.15999999607708934,-15.999999999700321,-2.118133597406313e-07
clausius,c,2.106666666666667,394.92503921235425,2.634907058273127,427.18207500946903,0.2766180610345016,1.599891431293395,5.655207068252272,268.11445681318696,-16.00000000007492,0.16000002493787574,-16.000000000073555,1.1836686457655787e-06
clausius,c,2.6333333333333337,410.80338104259215,2.4479385496651753,378.6831569079219,0.2630152124216551,1.5732242214414667,5.205735427113798,254.6629757809353,-15.999999999948955,0.15999999607708934,-15.999999999948614,-1.650600118807688e-07
clausius,c,3.16,426.4786582440834,2.263710872720987,338.17557535087417,0.2508598769609535,1.5486052828208743,4.816350189829972,242.6622415987012,-16.000000000244427,0.16000000070513165,-16.000000000244995,2.6495363236733738e-08
clausius,c,3.686666666666667,441.9679960747952,2.082067920541096,303.98371955620007,0.23992713435239657,1.5257736970530498,4.476198935282009,231.88441613922797,-16.000000000299337,0.15999998396071732,-16.00000000029945,-5.417422039855069e-07
clausius,c,4.213333333333334,457.2862265419593,1.902869058332524,274.8502925293827,0.23003677906615325,1.5045135178344184,4.17684153279654,222.14736528450518,-15.999999999981242,0.15999998858875963,-15.999999999981924,-3.4848692553879346e-07
clausius,c,4.74,472.4462966410264,1.7259869725268282,249.81685380942588,0.22104268796912308,1.4846441995838784,3.911623658541651,213.30370583539414,-15.999999999744546,0.16000001568179112,-15.999999999744432,4.3528627013955656e-07
dieterici,alpha,1.6666666666666667,102.65152674567649,2.2758720402060133,249.89454341417527,0.2516275293893251,1.5501832953189274,4.840594661306858,243.4195840539264,-15.9999999996204,0.15999998396071732,-15.999999999619831,-4.453475792587369e-07
dieterici,alpha,1.7037037037037037,118.17941285934891,2.4485567216379738,292.0449393837288,0.2630579826593867,1.5733094934761946,5.207126096363455,254.705234463209,-15.999999999964643,0.15999998858875963,-15.999999999964189,-3.702882631628768e-07
dieterici,alpha,1.7407407407407407,135.5797567054836,2.6060261541175906,337.73558065819384,0.27442567984673455,1.5956534825349857,5.581797531928273,265.94494298314135,-16.000000000389264,0.16000000533317396,-16.000000000389264,2.0013364032678282e-07
dieterici,alpha,1.777777777777778,155.0487731275878,2.750263809079023,387.03797855044184,0.28573582277264276,1.6172800597541983,5.964451692533248,277.14335503008334,-16.000000000098453,0.15999999607708937,-16.000000000097657,-1.6870169705640592e-07
dieterici,alpha,1.8148148148148149,176.80170577095268,2.8829171675598406,440.02224092398734,0.29699299059871653,1.638245818022117,6.354942193758642,288.304548341813,-16.000000000084356,0.15999999607708934,-16.000000000084015,-1.917964205233602e-07
dieterici,alpha,1.8518518518518519,201.07456691897443,3.0053666997304207,496.75717428732116,0.30820123800027427,1.6586005094506382,6.753132299691181,299.432123188576,-16.000000000309797,0.16000000533317396,-16.00000000031025,2.9436585524678094e-07
dieterici,alpha,1.8888888888888888,228.12603168362787,3.1187784034523798,557.310373426212,0.3193641743856667,1.6783881331834167,7.158893872215076,310.52927509530514,-16.00000000031571,0.15999999607708934,-16.00000000031605,-2.4291985045721276e-07
dieterici,alpha,1.925925925925926,258.239499603062,3.224144321348838,621.7483011119463,0.3304850284352527,1.6976478122846914,7.572106475244323,321.5988540279079,-15.999999999847887,0.16000000533317396,-15.999999999847432,3.684324694219754e-07
dieterici,alpha,1.962962962962963,291.7253378489266,3.3223141435418913,690.1363592524135,0.34156670115208065,1.7164145073711359,7.992656605754505,332.6434129951867,-16.000000000079922,0.16000000533317396,-16.000000000079808,4.089575167398607e-07
dieterici,alpha,2.0,328.92332141994257,3.4140201144371347,762.5389523893134,0.3526118097983361,1.73471960241986,8.42043702835053,343.66524825802156,-16.00000000047328,0.16000000819346138,-16.000000000472824,6.942038517365745e-07
