model,parameter_name,parameter_value,a,b,K0,Tc,nc,Pc,dPdn,d2Pdn2,score,iterations,mu_star
dieterici,alpha,1.6666666666666667,102.65152674567649,2.2758720402060133,249.89454341417527,13.01013050858363,0.05842910014678292,0.19141981337362035,-2.3333418530668837e-07,-4.074240944618168e-05,2.182728258814405e-13,10,949.5649720553587
dieterici,alpha,1.7037037037037037,118.17941285934891,2.4485567216379738,292.0449393837288,13.79975329477246,0.0603562564119069,0.22141424689772116,-4.177906076652249e-06,4.633793349029247e-05,4.4084652186766124e-13,10,949.4375452028346
dieterici,alpha,1.7407407407407407,135.5797567054836,2.6060261541175906,337.73558065819384,14.576704896976262,0.06215469792561345,0.2532677134251389,4.8083625969752575e-06,-6.100675520315235e-05,7.34195285486524e-13,10,949.2746415569252
dieterici,alpha,1.777777777777778,155.0487731275878,2.750263809079023,387.03797855044184,15.341697043341298,0.06384563006343137,0.28696093939403955,1.3516149310888181e-06,-8.840150833577809e-05,6.949340608507583e-13,12,949.0830692227602
dieterici,alpha,1.8148148148148149,176.80170577095268,2.8829171675598406,440.02224092398734,16.095410952552445,0.06544496850707768,0.32247834345653503,-7.034178794995682e-07,7.07045533232531e-05,3.02234696309413e-13,11,948.867963347402
dieterici,alpha,1.8518518518518519,201.07456691897443,3.0053666997304207,496.75717428732116,16.838452706536476,0.06696488104502768,0.35980440338767683,7.741213225997967e-07,-8.10407296825133e-05,2.8595482137995685e-13,12,948.6333023725306
dieterici,alpha,1.8888888888888888,228.12603168362787,3.1187784034523798,557.310373426212,17.571363252571025,0.06841505599626628,0.3989234541906044,-8.638739723565436e-07,9.436340597801518e-05,2.856322452716568e-13,12,948.3823107507703
dieterici,alpha,1.925925925925926,258.239499603062,3.224144321348838,621.7483011119463,18.29464125077933,0.06980310226848274,0.43982045350618826,2.2921886611015907e-07,-3.966826866985684e-05,3.759728878557589e-14,12,948.1175080022587
dieterici,alpha,1.962962962962963,291.7253378489266,3.3223141435418913,690.1363592524135,19.008733909479705,0.07113532139934232,0.48248074604140556,-4.6153247890146076e-07,6.659672813214002e-05,8.306600751962284e-14,13,947.8410183202564
dieterici,alpha,2.0,328.92332141994257,3.4140201144371347,762.5389523893134,19.714051699516656,0.07241684495467503,0.5268892365693063,-9.79237801956856e-07,9.033884751374899e-05,1.2535404710530294e-13,11,947.5545508610963
