model,parameter_name,parameter_value,a,b,K0,n_id,kf,p_id,eps_id,binding,n_sat,e_per_particle_minus_m_at_sat,p_sat
dieterici,alpha,1.6666666666666667,102.65152674567649,2.2758720402060133,249.89454341417527,0.2516275293893251,1.5501832953189274,4.840594661306858,243.4195840539264,-15.9999999996204,0.15999998396071732,-15.999999999619831,-4.453475792587369e-07
dieterici,alpha,1.7037037037037037,118.17941285934891,2.4485567216379738,292.0449393837288,0.2630579826593867,1.5733094934761946,5.207126096363455,254.705234463209,-15.999999999964643,0.15999998858875963,-15.999999999964189,-3.702882631628768e-07
dieterici,alpha,1.7407407407407407,135.5797567054836,2.6060261541175906,337.73558065819384,0.27442567984673455,1.5956534825349857,5.581797531928273,265.94494298314135,-16.000000000389264,0.16000000533317396,-16.000000000389264,2.0013364032678282e-07
dieterici,alpha,1.777777777777778,155.0487731275878,2.750263809079023,387.03797855044184,0.28573582277264276,1.6172800597541983,5.964451692533248,277.14335503008334,-16.000000000098453,0.15999999607708937,-16.000000000097657,-1.6870169705640592e-07
dieterici,alpha,1.8148148148148149,176.80170577095268,2.8829171675598406,440.02224092398734,0.29699299059871653,1.638245818022117,6.354942193758642,288.304548341813,-16.000000000084356,0.15999999607708934,-16.000000000084015,-1.917964205233602e-07
dieterici,alpha,1.8518518518518519,201.07456691897443,3.0053666997304207,496.75717428732116,0.30820123800027427,1.6586005094506382,6.753132299691181,299.432123188576,-16.000000000309797,0.16000000533317396,-16.00000000031025,2.9436585524678094e-07
dieterici,alpha,1.8888888888888888,228.12603168362787,3.1187784034523798,557.310373426212,0.3193641743856667,1.6783881331834167,7.158893872215076,310.52927509530514,-16.00000000031571,0.15999999607708934,-16.00000000031605,-2.4291985045721276e-07
dieterici,alpha,1.925925925925926,258.239499603062,3.224144321348838,621.7483011119463,0.3304850284352527,1.6976478122846914,7.572106475244323,321.5988540279079,-15.999999999847887,0.16000000533317396,-15.999999999847432,3.684324694219754e-07
dieterici,alpha,1.962962962962963,291.7253378489266,3.3223141435418913,690.1363592524135,0.34156670115208065,1.7164145073711359,7.992656605754505,332.6434129951867,-16.000000000079922,0.16000000533317396,-16.000000000079808,4.089575167398607e-07
dieterici,alpha,2.0,328.92332141994257,3.4140201144371347,762.5389523893134,0.3526118097983361,1.73471960241986,8.42043702835053,343.66524825802156,-16.00000000047328,0.16000000819346138,-16.000000000472824,6.942038517365745e-07
