model,parameter_name,parameter_value,a,b,K0,Tc,nc,Pc,dPdn,d2Pdn2,score,iterations,mu_star
clausius,c,0.0,328.92332141994257,3.4140201144371347,762.5389523893134,19.714051699516656,0.07241684495467503,0.5268892365693063,-9.79237801956856e-07,9.033884751374899e-05,1.2535404710530294e-13,11,947.5545508610963
clausius,c,0.5266666666666667,345.85361508449813,3.214110722227173,648.1581934649761,19.134478296069336,0.06902085471752237,0.4706346774247867,3.351208199831035e-07,-4.2932324362254803e-05,3.732182259262465e-14,13,946.3579070139954
clausius,c,1.0533333333333335,362.47585090432614,3.0177848116360275,558.1191378576377,18.621114324994792,0.06591367855070926,0.4241202924315366,-5.029715532955947e-07,5.125344593182035e-05,7.503979452533237e-14,12,945.2998236333978
clausius,c,1.58,378.8236849667992,2.8247906144030837,485.94539613855403,18.16226186448396,0.06306096971047691,0.385111706641176,5.184092044530075e-07,-4.476974346800944e-05,8.335288590099371e-14,12,944.355620126634
clausius,c,2.106666666666667,394.92503921235425,2.634907058273127,427.18207500946903,17.748911380585135,0.06043355669922018,0.35199563804555734,-1.1369455377163717e-06,7.183698080837075e-05,3.285746195929526e-13,12,943.5063561313948
clausius,c,2.6333333333333337,410.80338104259215,2.4479385496651753,378.6831569079219,17.374006086371104,0.0580063909938402,0.32358125022078776,-4.165814915246813e-06,4.990452495690079e-06,2.8991856859482697e-13,10,942.7371585110343
clausius,c,3.16,426.4786582440834,2.263710872720987,338.17557535087417,17.031936011474986,0.05575798526944447,0.2989723326145134,9.712591841903873e-07,2.596811654598241e-05,4.653439562140223e-14,11,942.0362112113968
clausius,c,3.686666666666667,441.9679960747952,2.082067920541096,303.98371955620007,16.71815634111571,0.05366972233422144,0.277481311440553,3.0787197791148913e-06,-7.233935672701364e-05,3.7041696558591674e-13,11,941.3939965650782
clausius,c,4.213333333333334,457.2862265419593,1.902869058332524,274.8502925293827,16.428950678568,0.05172548745768716,0.2585732614918814,-8.877421853181744e-06,1.8265944312645388e-05,1.2896499945848386e-12,10,940.8027752757499
clausius,c,4.74,472.4462966410264,1.7259869725268282,249.81685380942588,16.161290058337016,0.04991116553296645,0.24182851172252506,-1.0713055442757025e-06,6.418476861114186e-05,1.609982613941059e-13,11,940.2560596751389
