model,parameter_name,parameter_value,a,b,K0,Tc,nc,Pc,dPdn,d2Pdn2,score,iterations,mu_star,label,plot_order
vdw,,,328.92332141994257,3.4140201144371347,762.5389523893134,19.714051699516656,0.07241684495467503,0.5268892365693063,-9.79237801956856e-07,9.033884751374899e-05,1.2535404710530294e-13,11,947.5545508610963,VDW,0.0
cs,,,347.01721947748916,4.426714731633064,601.4493907713359,18.610508147609703,0.07006846761210038,0.47307087737904774,-3.3611607941352872e-06,4.6745940451842216e-05,1.3111410460386434e-13,8,950.0050515021514,CS,1.0
tvm,,,349.0093263708852,4.280134137208359,564.2212831027393,18.270592977429768,0.0686731772110184,0.45018182630111747,2.7099694710486233e-06,3.123612479782878e-05,8.266383597993389e-14,9,949.8414457979254,TVM,2.0
rks,,,374.1246008659823,2.9343794358079145,517.6872568264379,18.240017892092034,0.06429154365845052,0.39677673849305584,-5.322875473723343e-07,4.3587355946783646e-05,6.948461941343315e-14,12,945.0093616916525,RKS,3.0
pr,,,408.4315293063252,2.817208542931072,443.12146447778036,17.14148343849026,0.060723812617548396,0.33182219037783733,-3.0066005241025096e-07,3.4333647036532966e-05,8.131121729166616e-14,11,944.9839243542069,PR,4.0
clausius,c,0.0,328.92332141994257,3.4140201144371347,762.5389523893134,19.714051699516656,0.07241684495467503,0.5268892365693063,-9.79237801956856e-07,9.033884751374899e-05,1.2535404710530294e-13,11,947.5545508610963,,
clausius,c,0.5266666666666667,345.85361508449813,3.214110722227173,648.1581934649761,19.134478296069336,0.06902085471752237,0.4706346774247867,3.351208199831035e-07,-4.2932324362254803e-05,3.732182259262465e-14,13,946.3579070139954,,
clausius,c,1.0533333333333335,362.47585090432614,3.0177848116360275,558.1191378576377,18.621114324994792,0.06591367855070926,0.4241202924315366,-5.029715532955947e-07,5.125344593182035e-05,7.503979452533237e-14,12,945.2998236333978,,
clausius,c,1.58,378.8236849667992,2.8247906144030837,485.94539613855403,18.16226186448396,0.06306096971047691,0.385111706641176,5.184092044530075e-07,-4.476974346800944e-05,8.335288590099371e-14,12,944.355620126634,,
clausius,c,2.106666666666667,394.92503921235425,2.634907058273127,427.18207500946903,17.748911380585135,0.06043355669922018,0.35199563804555734,-1.1369455377163717e-06,7.183698080837075e-05,3.285746195929526e-13,12,943.5063561313948,,
clausius,c,2.6333333333333337,410.80338104259215,2.4479385496651753,378.6831569079219,17.374006086371104,0.0580063909938402,0.32358125022078776,-4.165814915246813e-06,4.990452495690079e-06,2.8991856859482697e-13,10,942.7371585110343,,
clausius,c,3.16,426.4786582440834,2.263710872720987,338.17557535087417,17.031936011474986,0.05575798526944447,0.2989723326145134,9.712591841903873e-07,2.596811654598241e-05,4.653439562140223e-14,11,942.0362112113968,,
clausius,c,3.686666666666667,441.9679960747952,2.082067920541096,303.98371955620007,16.71815634111571,0.05366972233422144,0.277481311440553,3.0787197791148913e-06,-7.233935672701364e-05,3.7041696558591674e-13,11,941.3939965650782,,
clausius,c,4.213333333333334,457.2862265419593,1.902869058332524,274.8502925293827,16.428950678568,0.05172548745768716,0.2585732614918814,-8.877421853181744e-06,1.8265944312645388e-05,1.2896499945848386e-12,10,940.8027752757499,,
clausius,c,4.74,472.4462966410264,1.7259869725268282,249.81685380942588,16.161290058337016,0.04991116553296645,0.24182851172252506,-1.0713055442757025e-06,6.418476861114186e-05,1.609982613941059e-13,11,940.2560596751389,,
dieterici,alpha,1.6666666666666667,102.65152674567649,2.2758720402060133,249.89454341417527,13.01013050858363,0.05842910014678292,0.19141981337362035,-2.3333418530668837e-07,-4.074240944618168e-05,2.182728258814405e-13,10,949.5649720553587,,
dieterici,alpha,1.7037037037037037,118.17941285934891,2.4485567216379738,292.0449393837288,13.79975329477246,0.0603562564119069,0.22141424689772116,-4.177906076652249e-06,4.633793349029247e-05,4.4084652186766124e-13,10,949.4375452028346,,
dieterici,alpha,1.7407407407407407,135.5797567054836,2.6060261541175906,337.73558065819384,14.576704896976262,0.06215469792561345,0.2532677134251389,4.8083625969752575e-06,-6.100675520315235e-05,7.34195285486524e-13,10,949.2746415569252,,
dieterici,alpha,1.777777777777778,155.0487731275878,2.750263809079023,387.03797855044184,15.341697043341298,0.06384563006343137,0.28696093939403955,1.3516149310888181e-06,-8.840150833577809e-05,6.949340608507583e-13,12,949.0830692227602,,
dieterici,alpha,1.8148148148148149,176.80170577095268,2.8829171675598406,440.02224092398734,16.095410952552445,0.06544496850707768,0.32247834345653503,-7.034178794995682e-07,7.07045533232531e-05,3.02234696309413e-13,11,948.867963347402,,
dieterici,alpha,1.8518518518518519,201.07456691897443,3.0053666997304207,496.75717428732116,16.838452706536476,0.06696488104502768,0.35980440338767683,7.741213225997967e-07,-8.10407296825133e-05,2.8595482137995685e-13,12,948.6333023725306,,
dieterici,alpha,1.8888888888888888,228.12603168362787,3.1187784034523798,557.310373426212,17.571363252571025,0.06841505599626628,0.3989234541906044,-8.638739723565436e-07,9.436340597801518e-05,2.856322452716568e-13,12,948.3823107507703,,
dieterici,alpha,1.925925925925926,258.239499603062,3.224144321348838,621.7483011119463,18.29464125077933,0.06980310226848274,0.43982045350618826,2.2921886611015907e-07,-3.966826866985684e-05,3.759728878557589e-14,12,948.1175080022587,,
dieterici,alpha,1.962962962962963,291.7253378489266,3.3223141435418913,690.1363592524135,19.008733909479705,0.07113532139934232,0.48248074604140556,-4.6153247890146076e-07,6.659672813214002e-05,8.306600751962284e-14,13,947.8410183202564,,
dieterici,alpha,2.0,328.92332141994257,3.4140201144371347,762.5389523893134,19.714051699516656,0.07241684495467503,0.5268892365693063,-9.79237801956856e-07,9.033884751374899e-05,1.2535404710530294e-13,11,947.5545508610963,,
