source,ref_model,ref_label,ref_K0,ref_Tc,ref_nc,ref_Pc,reference_group,target_k0_match,parameter_name,parameter_value,delta_k0
combined_base_model,vdw,VDW,762.5389523893134,19.714051699516656,0.072416844954675,0.5268892365693063,base_model,,,,
combined_base_model,cs,CS,601.4493907713359,18.610508147609703,0.0700684676121003,0.4730708773790477,base_model,,,,
combined_base_model,tvm,TVM,564.2212831027393,18.270592977429768,0.0686731772110184,0.4501818263011174,base_model,,,,
combined_base_model,rks,RKS,517.6872568264379,18.24001789209203,0.0642915436584505,0.3967767384930558,base_model,,,,
combined_base_model,pr,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,base_model,,,,
combined_clausius_scan_nearest,clausius,Clausius scan near K0=250,249.81685380942588,16.161290058337016,0.0499111655329664,0.241828511722525,scan_nearest,250.0,c,4.74,0.18314619057412074
combined_clausius_scan_nearest,clausius,Clausius scan near K0=280,274.8502925293827,16.428950678568,0.0517254874576871,0.2585732614918814,scan_nearest,280.0,c,4.213333333333334,5.1497074706172725
combined_clausius_scan_nearest,clausius,Clausius scan near K0=315,303.98371955620007,16.71815634111571,0.0536697223342214,0.277481311440553,scan_nearest,315.0,c,3.686666666666667,11.016280443799928
combined_dieterici_scan_nearest,dieterici,Dieterici scan near K0=250,249.89454341417527,13.01013050858363,0.0584291001467829,0.1914198133736203,scan_nearest,250.0,alpha,1.6666666666666667,0.10545658582472583
combined_dieterici_scan_nearest,dieterici,Dieterici scan near K0=280,292.0449393837288,13.79975329477246,0.0603562564119069,0.2214142468977211,scan_nearest,280.0,alpha,1.7037037037037035,12.044939383728774
combined_dieterici_scan_nearest,dieterici,Dieterici scan near K0=315,337.73558065819384,14.576704896976262,0.0621546979256134,0.2532677134251389,scan_nearest,315.0,alpha,1.7407407407407407,22.73558065819384
