source,comparison_label,K0,Tc,nc,Pc,scan_model,target_k0,parameter_name,parameter_value,delta_k0
combined_base_model,VDW,762.5389523893134,19.714051699516656,0.072416844954675,0.5268892365693063,,,,,
combined_base_model,CS,601.4493907713359,18.610508147609703,0.0700684676121003,0.4730708773790477,,,,,
combined_base_model,TVM,564.2212831027393,18.270592977429768,0.0686731772110184,0.4501818263011174,,,,,
combined_base_model,RKS,517.6872568264379,18.24001789209203,0.0642915436584505,0.3967767384930558,,,,,
combined_base_model,PR,443.1214644777803,17.14148343849026,0.0607238126175483,0.3318221903778373,,,,,
exact_symmetric_target_clausius,Clausius exact K0=250 y=0.5,250.0,16.16332176411409,0.0499249682702512,0.2419531047308166,,,,,
exact_symmetric_target_clausius,Clausius exact K0=280 y=0.5,280.0,16.4817165975974,0.0520814359187431,0.261959538318564,,,,,
exact_symmetric_target_clausius,Clausius exact K0=315 y=0.5,315.0,16.822045353851347,0.0543637113084092,0.2844835588150517,,,,,
combined_clausius_scan_nearest,Clausius scan near K0=250,249.81685380942588,16.161290058337016,0.0499111655329664,0.241828511722525,clausius,250.0,c,4.74,0.18314619057412074
combined_clausius_scan_nearest,Clausius scan near K0=280,274.8502925293827,16.428950678568,0.0517254874576871,0.2585732614918814,clausius,280.0,c,4.213333333333334,5.1497074706172725
combined_clausius_scan_nearest,Clausius scan near K0=315,303.98371955620007,16.71815634111571,0.0536697223342214,0.277481311440553,clausius,315.0,c,3.686666666666667,11.016280443799928
combined_dieterici_scan_nearest,Dieterici scan near K0=250,249.89454341417527,13.01013050858363,0.0584291001467829,0.1914198133736203,dieterici,250.0,alpha,1.6666666666666667,0.10545658582472583
combined_dieterici_scan_nearest,Dieterici scan near K0=280,292.0449393837288,13.79975329477246,0.0603562564119069,0.2214142468977211,dieterici,280.0,alpha,1.7037037037037035,12.044939383728774
combined_dieterici_scan_nearest,Dieterici scan near K0=315,337.73558065819384,14.576704896976262,0.0621546979256134,0.2532677134251389,dieterici,315.0,alpha,1.7407407407407407,22.73558065819384
